Date,Open,High,Low,Close
2023-03-17 23:00:00,132.64500,132.74500,132.03500,132.22501
2023-03-17 22:00:00,133.11501,133.18500,132.52499,132.64500
2023-03-17 21:00:00,133.11501,133.24500,133.09500,133.13499
2023-03-17 20:00:00,133.25500,133.27499,132.95500,133.11501
2023-03-17 19:00:00,133.02499,133.35500,133.00500,133.25500
2023-03-17 18:00:00,132.88000,133.19501,132.75500,133.02499
2023-03-17 17:00:00,133.04500,133.09500,132.87500,132.87500
2023-03-17 16:00:00,133.06500,133.16499,132.86501,133.03500
2023-03-17 15:00:00,133.21500,133.33501,133.06500,133.07500
2023-03-17 14:00:00,133.24500,133.24500,133.03500,133.21500
2023-03-17 13:00:00,133.32500,133.34500,133.15500,133.23500
2023-03-17 12:00:00,133.39500,133.46500,133.21500,133.32500
2023-03-17 11:00:00,133.36501,133.58501,133.36501,133.40500
2023-03-17 10:00:00,133.50000,133.50000,133.33501,133.38499
2023-03-17 09:00:00,133.61501,133.67999,133.48500,133.48500
2023-03-17 08:00:00,133.74500,133.78000,133.57500,133.60500
2023-03-17 07:00:00,133.50500,133.82500,133.46500,133.75999
2023-03-17 06:00:00,133.52499,133.56500,133.41499,133.50500
2023-03-17 05:00:00,133.67500,133.68500,133.39500,133.51500
2023-03-17 04:00:00,133.45500,133.82500,133.43500,133.69501
2023-03-17 03:00:00,133.03500,133.47501,132.91499,133.45500
2023-03-17 02:00:00,132.62500,133.14500,132.51500,133.03500
2023-03-17 01:00:00,132.38499,132.86501,131.93500,132.63499
2023-03-17 00:00:00,132.32500,132.58501,131.73500,132.35500
2023-03-16 23:00:00,132.60500,132.66499,132.22000,132.34500
2023-03-16 22:00:00,132.85500,132.86501,132.60500,132.60500
2023-03-16 21:00:00,132.86501,133.08501,132.81000,132.84500
2023-03-16 20:00:00,132.89500,132.94501,132.67500,132.85500
2023-03-16 19:00:00,133.12500,133.22501,132.60500,132.88499
2023-03-16 18:00:00,132.84000,133.19501,132.80499,133.12500
2023-03-16 17:00:00,132.72501,132.96500,132.71500,132.84000
2023-03-16 16:00:00,132.77499,133.04500,132.72501,132.73500
2023-03-16 15:00:00,132.73500,132.80499,132.57001,132.77499
